part_id,assembly,material,thickness,qty,rough_l,rough_w,final_l,final_w,gate,notes
TOP-05,top,plywood,0.75,2,42,3.5,41.25,3,cut_now,Under-top stiffeners that stay outside the rail keep-clear lanes
TOP-06,top,plywood,0.75,4,4.5,4.5,4,4,cut_now,Future overlay anchor backing pads at x=6 and x=54 anchor stations
MS-01,miter_station,plywood,0.75,1,22.5,12.5,22,12,cut_now,Flip-top tray deck sized from the public-envelope layout; transfer the real saw bolt pattern only after tray shims are proven
MS-02,miter_station,plywood,0.75,2,12.5,10.5,12,10,after_miter_station_fit,Tray side walls trimmed after pivot hardware dry fit
MS-03,miter_station,plywood,0.75,2,21.5,3.5,21,3,after_miter_station_fit,Front and rear tray rails
MS-04,miter_station,plywood,0.75,1,22.5,12.5,22,12,cut_now,Stowed cover and work-surface panel; flushness is tuned later with FT-02 and the latch set
MS-05,miter_station,plywood,0.75,1,34.5,4.5,34,4,cut_now,Left support fence face blank; final stop-track line still comes from the real saw during fit-up
MS-06,miter_station,plywood,0.75,1,34.5,4.5,34,4,cut_now,Right support fence face blank; final stop-track line still comes from the real saw during fit-up
FT-01,flip_top,plywood,0.75,2,12.5,12.5,12,12,after_miter_station_fit,Pivot side-plate blanks
FT-02,flip_top,plywood,0.75,2,4.5,4.5,4,4,after_miter_station_fit,Stowed latch blocks
FT-03,flip_top,plywood,0.75,2,6.5,3.5,6,3,after_miter_station_fit,Deployed hard-stop blocks
DR-01,drawers,plywood,0.5,2,22.5,4.5,22,4,cut_now,Top drawer sides
DR-02,drawers,plywood,0.5,2,17.5,4.5,17,4,cut_now,Top drawer fronts and backs
DR-03,drawers,plywood,0.5,2,22.5,6.5,22,6,cut_now,Middle drawer sides
DR-04,drawers,plywood,0.5,2,17.5,6.5,17,6,cut_now,Middle drawer fronts and backs
DR-05,drawers,plywood,0.5,2,22.5,8.5,22,8,cut_now,Bottom drawer sides
DR-06,drawers,plywood,0.5,2,17.5,8.5,17,8,cut_now,Bottom drawer fronts and backs
DR-07,drawers,plywood,0.5,3,17.5,22.5,17,22,cut_now,Drawer bottoms
RF-01,router_fence,plywood,0.75,1,33,6.5,32,6,cut_now,Router fence body
RF-02,router_fence,plywood,0.75,2,16,4.5,15.5,4,cut_now,Router fence faces
RF-03,router_fence,plywood,0.75,2,12,5.5,11.5,5,cut_now,Router fence ends
ASM-01,assembly_overlay,plywood,0.75,1,60.5,36.5,60,36,stage2,Future removable assembly overlay
ASM-02,assembly_overlay,plywood,0.75,1,36.5,1.75,36,1.5,stage2,Left register cleat for overlay
ASM-03,assembly_overlay,plywood,0.75,1,60.5,1.75,60,1.5,stage2,Rear register cleat for overlay
ASM-04,assembly_overlay,plywood,0.75,1,36.5,2.5,36,2,stage2,Underside overlay stiffener across unsupported openings
